,applicant_job_title,official_record_job_title,status,rule
2924,junior,trainee automation testing,True,Rule 6 (Invalid title)
2925,jr civil engineer,middle web designing,True,Rule 6 (Invalid title)
2926,senior operations manager,intern hr,True,Rule 6 (Invalid title)
2927,senior web designing,middle automation testing,True,Rule 6 (Invalid title)
2928,senior dotnet developer,trainee database,True,Rule 6 (Invalid title)
2929,junior testing,trainee n/a,True,Rule 6 (Invalid title)
2930,mid civil engineer,trainee,True,Rule 6 (Invalid title)
2931,senior,senior network security engineer,True,Rule 6 (Invalid title)
2932,middle data science,lead dotnet developer,True,Rule 6 (Invalid title)
2933,testing,junior health fitness,True,Rule 6 (Invalid title)
2934,testing,trainee database,True,Rule 6 (Invalid title)
2935,middle hr,middle civil engineer,True,Rule 6 (Invalid title)
2936,middle n/a,sr data science,True,Rule 6 (Invalid title)
2937,senior web designing,lead business analyst,True,Rule 6 (Invalid title)
2938,jr blockchain,middle data science,True,Rule 6 (Invalid title)
2939,web designing,middle sales,True,Rule 6 (Invalid title)
2940,mid web designing,junior dotnet developer,True,Rule 6 (Invalid title)
2941,middle advocate,mid testing,True,Rule 6 (Invalid title)
2942,intern data science,trainee testing,True,Rule 6 (Invalid title)
2943,operations manager,mid data science,True,Rule 6 (Invalid title)
2944,senior database,trainee database,True,Rule 3 (Exact / near match)
2945,middle web designing,mid health fitness,True,Rule 6 (Invalid title)
2946,senior web designing,sr web designing,True,Rule 3 (Exact / near match)
2947,jr operations manager,middle automation testing,True,Rule 6 (Invalid title)
2948,,middle devops engineer,True,Rule 6 (Invalid title)
2949,middle developer,lead developer,True,Rule 3 (Exact / near match)
2950,jr,senior database,True,Rule 6 (Invalid title)
2951,blockchain,mid web designing,True,Rule 6 (Invalid title)
2952,jr dotnet developer,lead automation testing,True,Rule 6 (Invalid title)
2953,mid database,trainee mechanical engineer,True,Rule 6 (Invalid title)
2954,sr arts,lead sales,True,Rule 6 (Invalid title)
2955,mid mechanical engineer,trainee,True,Rule 6 (Invalid title)
2956,mid civil engineer,sr health fitness,True,Rule 6 (Invalid title)
2957,advocate,intern health fitness,True,Rule 6 (Invalid title)
2958,middle,sr operations manager,True,Rule 6 (Invalid title)
2959,hr,middle dotnet developer,True,Rule 6 (Invalid title)
2960,mid automation testing,intern hr,True,Rule 6 (Invalid title)
2961,intern advocate,junior health fitness,True,Rule 6 (Invalid title)
2962,sr,trainee operations manager,True,Rule 6 (Invalid title)
2963,testing,trainee mechanical engineer,True,Rule 6 (Invalid title)
2964,jr network security engineer,middle blockchain,True,Rule 6 (Invalid title)
2965,jr n/a,junior,True,Rule 6 (Invalid title)
2966,operations manager,mid,True,Rule 6 (Invalid title)
2967,senior dotnet developer,middle hr,True,Rule 6 (Invalid title)
2968,devops engineer,intern web designing,True,Rule 6 (Invalid title)
2969,jr database,junior arts,True,Rule 6 (Invalid title)
2970,middle automation testing,sr n/a,True,Rule 6 (Invalid title)
2971,intern business analyst,lead database,True,Rule 6 (Invalid title)
2972,senior hr,lead database,True,Rule 6 (Invalid title)
2973,senior mechanical engineer,trainee n/a,True,Rule 6 (Invalid title)
2974,middle arts,trainee sales,True,Rule 6 (Invalid title)
2975,jr devops engineer,senior blockchain,True,Rule 6 (Invalid title)
2976,sr web designing,trainee automation testing,True,Rule 6 (Invalid title)
2977,jr operations manager,middle arts,True,Rule 6 (Invalid title)
2978,middle database,lead health fitness,True,Rule 6 (Invalid title)
2979,jr operations manager,lead data science,True,Rule 6 (Invalid title)
2980,sr database,lead network security engineer,True,Rule 6 (Invalid title)
2981,devops engineer,intern hr,True,Rule 6 (Invalid title)
2982,jr mechanical engineer,senior testing,True,Rule 6 (Invalid title)
2983,jr mechanical engineer,junior blockchain,True,Rule 6 (Invalid title)
2984,intern,lead advocate,True,Rule 6 (Invalid title)
2985,sr web designing,junior data science,True,Rule 6 (Invalid title)
2986,middle advocate,lead blockchain,True,Rule 6 (Invalid title)
2987,network security engineer,sr,True,Rule 6 (Invalid title)
2988,mid health fitness,lead sales,True,Rule 6 (Invalid title)
2989,middle automation testing,lead testing,True,Rule 6 (Invalid title)
2990,middle operations manager,mid data science,True,Rule 6 (Invalid title)
2991,mid automation testing,sr dotnet developer,True,Rule 6 (Invalid title)
2992,jr arts,sr operations manager,True,Rule 6 (Invalid title)
2993,intern health fitness,junior devops engineer,True,Rule 6 (Invalid title)
2994,middle advocate,intern advocate,True,Rule 3 (Exact / near match)
2995,middle web designing,middle business analyst,True,Rule 6 (Invalid title)
2996,data science,trainee web designing,True,Rule 6 (Invalid title)
2997,middle automation testing,junior automation testing,True,Rule 3 (Exact / near match)
2998,civil engineer,intern health fitness,True,Rule 6 (Invalid title)
2999,jr devops engineer,senior automation testing,True,Rule 6 (Invalid title)
3000,n/a,automation testing,True,Rule 6 (Invalid title)
3001,jr web designing,senior blockchain,True,Rule 6 (Invalid title)
3002,jr hr,mid civil engineer,True,Rule 6 (Invalid title)
3003,lead network security engineer,trainee n/a,True,Rule 6 (Invalid title)
3004,testing,sr automation testing,True,Rule 6 (Invalid title)
3005,jr testing,middle blockchain,True,Rule 6 (Invalid title)
3006,middle testing,mid advocate,True,Rule 6 (Invalid title)
3007,automation testing,middle developer,True,Rule 6 (Invalid title)
3008,senior civil engineer,junior data science,True,Rule 6 (Invalid title)
3009,jr operations manager,middle web designing,True,Rule 6 (Invalid title)
3010,senior sales,intern business analyst,True,Rule 6 (Invalid title)
3011,middle web designing,lead,True,Rule 6 (Invalid title)
3012,automation testing,jr web designing,True,Rule 6 (Invalid title)
3013,middle,mid operations manager,True,Rule 6 (Invalid title)
3014,lead hr,lead n/a,True,Rule 6 (Invalid title)
3015,senior sales,lead operations manager,True,Rule 6 (Invalid title)
3016,sr business analyst,trainee hr,True,Rule 6 (Invalid title)
3017,senior hr,sr,True,Rule 6 (Invalid title)
3018,middle arts,sr advocate,True,Rule 6 (Invalid title)
3019,senior network security engineer,senior testing,True,Rule 6 (Invalid title)
3020,intern operations manager,trainee,True,Rule 6 (Invalid title)
3021,sr advocate,sr n/a,True,Rule 6 (Invalid title)
3022,middle hr,junior dotnet developer,True,Rule 6 (Invalid title)
3023,intern developer,sr web designing,True,Rule 6 (Invalid title)
3024,network security engineer,sr blockchain,True,Rule 6 (Invalid title)
3025,senior developer,sr data science,True,Rule 6 (Invalid title)
3026,health fitness,lead network security engineer,True,Rule 6 (Invalid title)
3027,senior hr,lead data science,True,Rule 6 (Invalid title)
3028,jr data science,lead network security engineer,True,Rule 6 (Invalid title)
3029,automation testing,middle,True,Rule 6 (Invalid title)
3030,testing,trainee network security engineer,True,Rule 6 (Invalid title)
3031,jr devops engineer,mid hr,True,Rule 6 (Invalid title)
3032,intern,intern n/a,True,Rule 6 (Invalid title)
3033,senior advocate,senior blockchain,True,Rule 6 (Invalid title)
3034,middle dotnet developer,mid blockchain,True,Rule 6 (Invalid title)
3035,database,sr data science,True,Rule 6 (Invalid title)
3036,intern database,sr hr,True,Rule 6 (Invalid title)
3037,jr health fitness,sr,True,Rule 6 (Invalid title)
3038,,junior n/a,True,Rule 6 (Invalid title)
3039,senior hr,mid arts,True,Rule 6 (Invalid title)
3040,civil engineer,trainee,True,Rule 6 (Invalid title)
3041,operations manager,jr n/a,True,Rule 6 (Invalid title)
3042,sr dotnet developer,sr n/a,True,Rule 6 (Invalid title)
3043,jr developer,intern n/a,True,Rule 6 (Invalid title)
3044,senior operations manager,junior automation testing,True,Rule 6 (Invalid title)
3045,sr automation testing,junior arts,True,Rule 6 (Invalid title)
3046,middle devops engineer,trainee sales,True,Rule 6 (Invalid title)
3047,senior devops engineer,sr n/a,True,Rule 6 (Invalid title)
3048,sr sales,junior automation testing,True,Rule 6 (Invalid title)
3049,middle health fitness,junior arts,True,Rule 6 (Invalid title)
3050,senior hr,trainee blockchain,True,Rule 6 (Invalid title)
3051,senior sales,middle web designing,True,Rule 6 (Invalid title)
3052,middle operations manager,trainee n/a,True,Rule 6 (Invalid title)
3053,mid blockchain,lead testing,True,Rule 6 (Invalid title)
3054,senior database,mid network security engineer,True,Rule 6 (Invalid title)
3055,senior hr,junior civil engineer,True,Rule 6 (Invalid title)
3056,health fitness,trainee web designing,True,Rule 6 (Invalid title)
3057,sr advocate,junior hr,True,Rule 6 (Invalid title)
3058,senior blockchain,mid n/a,True,Rule 6 (Invalid title)
3059,web designing,mid data science,True,Rule 6 (Invalid title)
3060,mid civil engineer,sr civil engineer,True,Rule 3 (Exact / near match)
3061,mid dotnet developer,trainee database,True,Rule 6 (Invalid title)
3062,jr,sr mechanical engineer,True,Rule 6 (Invalid title)
3063,junior web designing,lead developer,True,Rule 6 (Invalid title)
3064,web designing,intern network security engineer,True,Rule 6 (Invalid title)
3065,jr dotnet developer,mid dotnet developer,True,Rule 3 (Exact / near match)
3066,jr sales,jr web designing,True,Rule 6 (Invalid title)
3067,senior network security engineer,middle web designing,True,Rule 6 (Invalid title)
3068,jr data science,lead automation testing,True,Rule 6 (Invalid title)
3069,health fitness,trainee testing,True,Rule 6 (Invalid title)
3070,mid hr,lead business analyst,True,Rule 6 (Invalid title)
3071,senior dotnet developer,middle database,True,Rule 6 (Invalid title)
3072,senior blockchain,mid health fitness,True,Rule 6 (Invalid title)
3073,mid business analyst,sr data science,True,Rule 6 (Invalid title)
3074,sr devops engineer,junior,True,Rule 6 (Invalid title)
3075,mid data science,junior mechanical engineer,True,Rule 6 (Invalid title)
3076,senior devops engineer,junior sales,True,Rule 6 (Invalid title)
3077,senior testing,lead sales,True,Rule 6 (Invalid title)
3078,sr health fitness,junior arts,True,Rule 6 (Invalid title)
3079,devops engineer,mid web designing,True,Rule 6 (Invalid title)
3080,sr automation testing,junior dotnet developer,True,Rule 6 (Invalid title)
3081,intern blockchain,sr civil engineer,True,Rule 6 (Invalid title)
3082,jr advocate,mid web designing,True,Rule 6 (Invalid title)
3083,mid arts,trainee dotnet developer,True,Rule 6 (Invalid title)
3084,senior testing,senior operations manager,True,Rule 6 (Invalid title)
3085,junior developer,junior blockchain,True,Rule 6 (Invalid title)
3086,jr network security engineer,intern database,True,Rule 6 (Invalid title)
3087,senior network security engineer,lead health fitness,True,Rule 6 (Invalid title)
3088,mid testing,sr automation testing,True,Rule 6 (Invalid title)
3089,mid advocate,trainee arts,True,Rule 6 (Invalid title)
3090,business analyst,mid automation testing,True,Rule 6 (Invalid title)
3091,mid dotnet developer,junior testing,True,Rule 6 (Invalid title)
3092,mid,mid mechanical engineer,True,Rule 6 (Invalid title)
3093,senior database,senior testing,True,Rule 6 (Invalid title)
3094,junior data science,trainee operations manager,True,Rule 6 (Invalid title)
3095,lead developer,trainee testing,True,Rule 6 (Invalid title)
3096,senior web designing,senior mechanical engineer,True,Rule 6 (Invalid title)
3097,hr,middle network security engineer,True,Rule 6 (Invalid title)
3098,mid web designing,sr database,True,Rule 6 (Invalid title)
3099,mid developer,lead developer,True,Rule 3 (Exact / near match)
3100,sr mechanical engineer,junior blockchain,True,Rule 6 (Invalid title)
3101,mid database,lead operations manager,True,Rule 6 (Invalid title)
3102,sr blockchain,lead blockchain,True,Rule 3 (Exact / near match)
3103,jr arts,junior web designing,True,Rule 6 (Invalid title)
3104,intern dotnet developer,sr automation testing,True,Rule 6 (Invalid title)
3105,web designing,intern hr,True,Rule 6 (Invalid title)
3106,sr network security engineer,lead sales,True,Rule 6 (Invalid title)
3107,jr database,junior health fitness,True,Rule 6 (Invalid title)
3108,jr mechanical engineer,middle mechanical engineer,True,Rule 3 (Exact / near match)
3109,sr web designing,sr network security engineer,True,Rule 6 (Invalid title)
3110,mid network security engineer,intern hr,True,Rule 6 (Invalid title)
3111,arts,jr dotnet developer,True,Rule 6 (Invalid title)
3112,senior business analyst,lead,True,Rule 6 (Invalid title)
3113,sr blockchain,junior developer,True,Rule 6 (Invalid title)
3114,sr automation testing,trainee network security engineer,True,Rule 6 (Invalid title)
3115,mid arts,trainee mechanical engineer,True,Rule 6 (Invalid title)
3116,mid health fitness,sr civil engineer,True,Rule 6 (Invalid title)
3117,jr web designing,jr health fitness,True,Rule 6 (Invalid title)
3118,blockchain,junior dotnet developer,True,Rule 6 (Invalid title)
3119,mid health fitness,intern mechanical engineer,True,Rule 6 (Invalid title)
3120,mid web designing,junior devops engineer,True,Rule 6 (Invalid title)
3121,middle sales,lead advocate,True,Rule 6 (Invalid title)
3122,middle network security engineer,intern web designing,True,Rule 6 (Invalid title)
3123,jr mechanical engineer,sr database,True,Rule 6 (Invalid title)
3124,intern business analyst,sr database,True,Rule 6 (Invalid title)
3125,middle blockchain,mid database,True,Rule 6 (Invalid title)
3126,middle database,junior operations manager,True,Rule 6 (Invalid title)
3127,middle arts,mid web designing,True,Rule 6 (Invalid title)
3128,senior web designing,intern sales,True,Rule 6 (Invalid title)
3129,health fitness,lead web designing,True,Rule 6 (Invalid title)
3130,middle advocate,junior arts,True,Rule 6 (Invalid title)
3131,automation testing,senior database,True,Rule 6 (Invalid title)
3132,mid devops engineer,sr health fitness,True,Rule 6 (Invalid title)
3133,blockchain,mid network security engineer,True,Rule 6 (Invalid title)
3134,mid health fitness,junior developer,True,Rule 6 (Invalid title)
3135,blockchain,intern,True,Rule 6 (Invalid title)
3136,mid mechanical engineer,mid testing,True,Rule 6 (Invalid title)
3137,advocate,jr automation testing,True,Rule 6 (Invalid title)
3138,junior business analyst,junior hr,True,Rule 6 (Invalid title)
3139,jr mechanical engineer,sr hr,True,Rule 6 (Invalid title)
3140,senior health fitness,sr,True,Rule 6 (Invalid title)
3141,jr data science,senior health fitness,True,Rule 6 (Invalid title)
3142,middle web designing,lead data science,True,Rule 6 (Invalid title)
3143,senior network security engineer,mid automation testing,True,Rule 6 (Invalid title)
3144,health fitness,trainee blockchain,True,Rule 6 (Invalid title)
3145,jr n/a,intern database,True,Rule 6 (Invalid title)
3146,middle developer,lead,True,Rule 6 (Invalid title)
3147,jr arts,middle business analyst,True,Rule 6 (Invalid title)
3148,jr data science,trainee business analyst,True,Rule 6 (Invalid title)
3149,sr blockchain,lead web designing,True,Rule 6 (Invalid title)
3150,jr advocate,middle arts,True,Rule 6 (Invalid title)
3151,intern web designing,lead advocate,True,Rule 6 (Invalid title)
3152,senior automation testing,middle testing,True,Rule 6 (Invalid title)
3153,intern n/a,sr operations manager,True,Rule 6 (Invalid title)
3154,middle mechanical engineer,trainee,True,Rule 6 (Invalid title)
3155,mid health fitness,trainee business analyst,True,Rule 6 (Invalid title)
3156,arts,junior health fitness,True,Rule 6 (Invalid title)
3157,civil engineer,junior testing,True,Rule 6 (Invalid title)
3158,mid database,junior operations manager,True,Rule 6 (Invalid title)
3159,mid devops engineer,junior testing,True,Rule 6 (Invalid title)
3160,senior,junior developer,True,Rule 6 (Invalid title)
3161,intern health fitness,junior civil engineer,True,Rule 6 (Invalid title)
3162,advocate,jr n/a,True,Rule 6 (Invalid title)
3163,jr dotnet developer,junior data science,True,Rule 6 (Invalid title)
3164,lead web designing,trainee sales,True,Rule 6 (Invalid title)
3165,sr testing,lead dotnet developer,True,Rule 6 (Invalid title)
3166,n/a,junior automation testing,True,Rule 6 (Invalid title)
3167,middle developer,mid health fitness,True,Rule 6 (Invalid title)
3168,intern database,sr developer,True,Rule 6 (Invalid title)
3169,civil engineer,mid database,True,Rule 6 (Invalid title)
3170,trainee hr,trainee operations manager,True,Rule 6 (Invalid title)
3171,automation testing,junior mechanical engineer,True,Rule 6 (Invalid title)
3172,middle blockchain,mid health fitness,True,Rule 6 (Invalid title)
3173,jr n/a,mid,True,Rule 6 (Invalid title)
3174,mid developer,sr developer,True,Rule 3 (Exact / near match)
3175,intern testing,trainee developer,True,Rule 6 (Invalid title)
3176,mid dotnet developer,trainee automation testing,True,Rule 6 (Invalid title)
3177,intern,sr health fitness,True,Rule 6 (Invalid title)
3178,middle mechanical engineer,intern web designing,True,Rule 6 (Invalid title)
3179,jr operations manager,lead n/a,True,Rule 6 (Invalid title)
3180,intern blockchain,junior,True,Rule 6 (Invalid title)
3181,automation testing,mid devops engineer,True,Rule 6 (Invalid title)
3182,middle,sr blockchain,True,Rule 6 (Invalid title)
3183,middle arts,middle testing,True,Rule 6 (Invalid title)
3184,jr advocate,intern web designing,True,Rule 6 (Invalid title)
3185,lead hr,trainee,True,Rule 6 (Invalid title)
3186,senior,trainee operations manager,True,Rule 6 (Invalid title)
3187,junior testing,trainee database,True,Rule 6 (Invalid title)
3188,senior advocate,mid web designing,True,Rule 6 (Invalid title)
3189,data science,jr operations manager,True,Rule 6 (Invalid title)
3190,middle arts,mid network security engineer,True,Rule 6 (Invalid title)
3191,mid civil engineer,intern,True,Rule 6 (Invalid title)
3192,intern data science,junior devops engineer,True,Rule 6 (Invalid title)
3193,mid arts,mid hr,True,Rule 6 (Invalid title)
3194,arts,sr sales,True,Rule 6 (Invalid title)
3195,jr blockchain,trainee,True,Rule 6 (Invalid title)
3196,senior automation testing,mid health fitness,True,Rule 6 (Invalid title)
3197,mid database,junior mechanical engineer,True,Rule 6 (Invalid title)
3198,jr dotnet developer,lead hr,True,Rule 6 (Invalid title)
3199,middle testing,intern advocate,True,Rule 6 (Invalid title)
3200,intern dotnet developer,trainee testing,True,Rule 6 (Invalid title)
3201,jr network security engineer,lead,True,Rule 6 (Invalid title)
3202,senior advocate,junior hr,True,Rule 6 (Invalid title)
3203,senior hr,junior web designing,True,Rule 6 (Invalid title)
3204,jr n/a,lead sales,True,Rule 6 (Invalid title)
3205,middle sales,middle civil engineer,True,Rule 6 (Invalid title)
3206,,jr blockchain,True,Rule 6 (Invalid title)
3207,intern database,trainee web designing,True,Rule 6 (Invalid title)
3208,mid arts,lead n/a,True,Rule 6 (Invalid title)
3209,sr hr,sr health fitness,True,Rule 6 (Invalid title)
3210,mid sales,trainee devops engineer,True,Rule 6 (Invalid title)
3211,arts,sr web designing,True,Rule 6 (Invalid title)
3212,mid sales,lead web designing,True,Rule 6 (Invalid title)
3213,senior dotnet developer,mid automation testing,True,Rule 6 (Invalid title)
3214,middle arts,intern health fitness,True,Rule 6 (Invalid title)
3215,middle civil engineer,sr arts,True,Rule 6 (Invalid title)
3216,middle testing,junior advocate,True,Rule 6 (Invalid title)
3217,jr health fitness,intern arts,True,Rule 6 (Invalid title)
3218,intern sales,sr blockchain,True,Rule 6 (Invalid title)
3219,advocate,sr automation testing,True,Rule 6 (Invalid title)
3220,sr sales,junior health fitness,True,Rule 6 (Invalid title)
3221,senior health fitness,junior health fitness,True,Rule 3 (Exact / near match)
3222,jr blockchain,intern,True,Rule 6 (Invalid title)
3223,jr,mid n/a,True,Rule 6 (Invalid title)
3224,senior web designing,sr database,True,Rule 6 (Invalid title)
3225,mid testing,lead arts,True,Rule 6 (Invalid title)
3226,sr arts,lead mechanical engineer,True,Rule 6 (Invalid title)
3227,senior devops engineer,sr data science,True,Rule 6 (Invalid title)
3228,jr advocate,mid blockchain,True,Rule 6 (Invalid title)
3229,jr n/a,mid civil engineer,True,Rule 6 (Invalid title)
3230,junior data science,trainee blockchain,True,Rule 6 (Invalid title)
3231,jr data science,mid mechanical engineer,True,Rule 6 (Invalid title)
3232,jr automation testing,senior health fitness,True,Rule 6 (Invalid title)
3233,senior testing,sr database,True,Rule 6 (Invalid title)
3234,middle,junior data science,True,Rule 6 (Invalid title)
3235,civil engineer,jr n/a,True,Rule 6 (Invalid title)
3236,senior blockchain,intern web designing,True,Rule 6 (Invalid title)
3237,intern sales,lead network security engineer,True,Rule 6 (Invalid title)
3238,senior hr,mid blockchain,True,Rule 6 (Invalid title)
3239,mid n/a,intern dotnet developer,True,Rule 6 (Invalid title)
3240,junior data science,junior automation testing,True,Rule 6 (Invalid title)
3241,intern hr,trainee data science,True,Rule 6 (Invalid title)
3242,middle health fitness,intern mechanical engineer,True,Rule 6 (Invalid title)
3243,mid data science,mid testing,True,Rule 6 (Invalid title)
3244,database,senior dotnet developer,True,Rule 6 (Invalid title)
3245,database,data science,True,Rule 6 (Invalid title)
3246,hr,jr civil engineer,True,Rule 6 (Invalid title)
3247,middle data science,intern n/a,True,Rule 6 (Invalid title)
3248,sr business analyst,lead web designing,True,Rule 6 (Invalid title)
3249,mid blockchain,sr data science,True,Rule 6 (Invalid title)
3250,senior dotnet developer,sr sales,True,Rule 6 (Invalid title)
3251,sales,senior testing,True,Rule 6 (Invalid title)
3252,n/a,intern civil engineer,True,Rule 6 (Invalid title)
3253,junior blockchain,trainee,True,Rule 6 (Invalid title)
3254,health fitness,jr developer,True,Rule 6 (Invalid title)
3255,senior database,senior network security engineer,True,Rule 6 (Invalid title)
3256,senior advocate,trainee testing,True,Rule 6 (Invalid title)
3257,,civil engineer,True,Rule 6 (Invalid title)
3258,senior web designing,mid network security engineer,True,Rule 6 (Invalid title)
3259,junior database,junior civil engineer,True,Rule 6 (Invalid title)
3260,middle network security engineer,mid hr,True,Rule 6 (Invalid title)
3261,lead database,lead operations manager,True,Rule 6 (Invalid title)
3262,sr civil engineer,trainee arts,True,Rule 6 (Invalid title)
3263,intern data science,trainee web designing,True,Rule 6 (Invalid title)
3264,middle devops engineer,intern database,True,Rule 6 (Invalid title)
3265,jr hr,jr testing,True,Rule 6 (Invalid title)
3266,health fitness,senior automation testing,True,Rule 6 (Invalid title)
3267,intern dotnet developer,sr database,True,Rule 6 (Invalid title)
3268,intern dotnet developer,trainee,True,Rule 6 (Invalid title)
3269,jr dotnet developer,middle database,True,Rule 6 (Invalid title)
3270,arts,sr advocate,True,Rule 6 (Invalid title)
3271,middle n/a,mid database,True,Rule 6 (Invalid title)
3272,jr health fitness,junior web designing,True,Rule 6 (Invalid title)
3273,jr business analyst,mid testing,True,Rule 6 (Invalid title)
3274,data science,junior dotnet developer,True,Rule 6 (Invalid title)
3275,jr testing,senior testing,True,Rule 3 (Exact / near match)
3276,middle civil engineer,sr testing,True,Rule 6 (Invalid title)
3277,intern n/a,trainee health fitness,True,Rule 6 (Invalid title)
3278,middle devops engineer,middle testing,True,Rule 6 (Invalid title)
3279,health fitness,junior health fitness,True,Rule 3 (Exact / near match)
3280,database,mid operations manager,True,Rule 6 (Invalid title)
3281,jr blockchain,middle operations manager,True,Rule 6 (Invalid title)
3282,middle data science,intern sales,True,Rule 6 (Invalid title)
3283,jr hr,mid mechanical engineer,True,Rule 6 (Invalid title)
3284,trainee sales,trainee civil engineer,True,Rule 6 (Invalid title)
3285,middle testing,lead operations manager,True,Rule 6 (Invalid title)
3286,mid advocate,junior arts,True,Rule 6 (Invalid title)
3287,sr devops engineer,junior n/a,True,Rule 6 (Invalid title)
3288,senior web designing,intern developer,True,Rule 6 (Invalid title)
3289,middle n/a,mid operations manager,True,Rule 6 (Invalid title)
3290,arts,mid civil engineer,True,Rule 6 (Invalid title)
3291,middle developer,junior n/a,True,Rule 6 (Invalid title)
3292,arts,junior mechanical engineer,True,Rule 6 (Invalid title)
3293,,developer,True,Rule 6 (Invalid title)
3294,jr,jr web designing,True,Rule 6 (Invalid title)
3295,senior arts,intern developer,True,Rule 6 (Invalid title)
3296,data science,middle network security engineer,True,Rule 6 (Invalid title)
3297,intern testing,sr mechanical engineer,True,Rule 6 (Invalid title)
3298,middle web designing,intern developer,True,Rule 6 (Invalid title)
3299,jr sales,senior business analyst,True,Rule 6 (Invalid title)
3300,senior automation testing,junior health fitness,True,Rule 6 (Invalid title)
3301,middle mechanical engineer,trainee testing,True,Rule 6 (Invalid title)
3302,senior database,intern mechanical engineer,True,Rule 6 (Invalid title)
3303,,junior dotnet developer,True,Rule 6 (Invalid title)
3304,,sr data science,True,Rule 6 (Invalid title)
3305,middle testing,intern operations manager,True,Rule 6 (Invalid title)
3306,jr automation testing,junior dotnet developer,True,Rule 6 (Invalid title)
3307,mid network security engineer,intern blockchain,True,Rule 6 (Invalid title)
3308,n/a,senior health fitness,True,Rule 6 (Invalid title)
3309,intern business analyst,intern data science,True,Rule 6 (Invalid title)
3310,senior sales,lead data science,True,Rule 6 (Invalid title)
3311,middle testing,mid health fitness,True,Rule 6 (Invalid title)
3312,civil engineer,middle n/a,True,Rule 6 (Invalid title)
3313,senior arts,sr n/a,True,Rule 6 (Invalid title)
3314,dotnet developer,sr hr,True,Rule 6 (Invalid title)
3315,jr sales,mid data science,True,Rule 6 (Invalid title)
3316,lead,trainee n/a,True,Rule 6 (Invalid title)
3317,arts,middle web designing,True,Rule 6 (Invalid title)
3318,mid sales,junior blockchain,True,Rule 6 (Invalid title)
3319,mid mechanical engineer,intern hr,True,Rule 6 (Invalid title)
3320,hr,middle testing,True,Rule 6 (Invalid title)
3321,hr,mid arts,True,Rule 6 (Invalid title)
3322,jr devops engineer,senior testing,True,Rule 6 (Invalid title)
3323,jr network security engineer,sr web designing,True,Rule 6 (Invalid title)
3324,intern data science,lead database,True,Rule 6 (Invalid title)
3325,jr arts,lead dotnet developer,True,Rule 6 (Invalid title)
3326,civil engineer,trainee health fitness,True,Rule 6 (Invalid title)
3327,jr developer,mid,True,Rule 6 (Invalid title)
3328,mid arts,lead,True,Rule 6 (Invalid title)
3329,mid health fitness,junior network security engineer,True,Rule 6 (Invalid title)
3330,mid advocate,mid testing,True,Rule 6 (Invalid title)
3331,intern dotnet developer,sr dotnet developer,True,Rule 3 (Exact / near match)
3332,civil engineer,mid health fitness,True,Rule 6 (Invalid title)
3333,middle hr,mid hr,True,Rule 3 (Exact / near match)
3334,intern blockchain,trainee health fitness,True,Rule 6 (Invalid title)
3335,automation testing,intern,True,Rule 6 (Invalid title)
3336,dotnet developer,middle arts,True,Rule 6 (Invalid title)
3337,senior health fitness,mid automation testing,True,Rule 6 (Invalid title)
3338,senior operations manager,trainee testing,True,Rule 6 (Invalid title)
3339,,sr automation testing,True,Rule 6 (Invalid title)
3340,middle database,junior blockchain,True,Rule 6 (Invalid title)
3341,intern health fitness,lead developer,True,Rule 6 (Invalid title)
3342,health fitness,sr automation testing,True,Rule 6 (Invalid title)
3343,senior business analyst,trainee database,True,Rule 6 (Invalid title)
3344,jr mechanical engineer,sr blockchain,True,Rule 6 (Invalid title)
3345,junior health fitness,lead data science,True,Rule 6 (Invalid title)
3346,blockchain,trainee network security engineer,True,Rule 6 (Invalid title)
3347,middle data science,junior,True,Rule 6 (Invalid title)
3348,mid database,sr devops engineer,True,Rule 6 (Invalid title)
3349,mechanical engineer,middle hr,True,Rule 6 (Invalid title)
3350,senior,junior blockchain,True,Rule 6 (Invalid title)
3351,middle advocate,junior advocate,True,Rule 3 (Exact / near match)
3352,middle health fitness,lead testing,True,Rule 6 (Invalid title)
3353,senior database,middle automation testing,True,Rule 6 (Invalid title)
3354,intern web designing,trainee network security engineer,True,Rule 6 (Invalid title)
3355,sr devops engineer,lead database,True,Rule 6 (Invalid title)
3356,junior devops engineer,junior testing,True,Rule 6 (Invalid title)
3357,junior devops engineer,lead arts,True,Rule 6 (Invalid title)
3358,hr,senior dotnet developer,True,Rule 6 (Invalid title)
3359,sr data science,junior blockchain,True,Rule 6 (Invalid title)
3360,mid database,trainee network security engineer,True,Rule 6 (Invalid title)
3361,n/a,mid health fitness,True,Rule 6 (Invalid title)
3362,middle sales,trainee n/a,True,Rule 6 (Invalid title)
3363,mid sales,junior arts,True,Rule 6 (Invalid title)
3364,junior database,junior developer,True,Rule 6 (Invalid title)
3365,jr mechanical engineer,junior arts,True,Rule 6 (Invalid title)
3366,senior web designing,sr,True,Rule 6 (Invalid title)
3367,sr database,lead blockchain,True,Rule 6 (Invalid title)
3368,mid n/a,junior devops engineer,True,Rule 6 (Invalid title)
3369,automation testing,senior automation testing,True,Rule 3 (Exact / near match)
3370,jr business analyst,jr hr,True,Rule 6 (Invalid title)
3371,jr dotnet developer,sr blockchain,True,Rule 6 (Invalid title)
3372,junior developer,trainee developer,True,Rule 3 (Exact / near match)
3373,data science,lead health fitness,True,Rule 6 (Invalid title)
